,SUBDIVISION,YEAR,ANNUAL PRECIPITATION,QUARTER,PRECIPITATION,SEVERITY1,TERRAIN,CLIMATE,SEVERITY
0,ANDAMAN & NICOBAR ISLANDS,1980,3625.3,Jan-Feb,6.3,0,Island,Tropical,0
1,ANDAMAN & NICOBAR ISLANDS,1980,3625.3,Mar-May,776.5,0,Island,Tropical,0
2,ANDAMAN & NICOBAR ISLANDS,1980,3625.3,Jun-Sep,1946.3,4,Island,Tropical,4
3,ANDAMAN & NICOBAR ISLANDS,1980,3625.3,Oct-Dec,896.3,0,Island,Tropical,0
4,ANDAMAN & NICOBAR ISLANDS,1981,3074.8,Jan-Feb,38.9,0,Island,Tropical,0
5,ANDAMAN & NICOBAR ISLANDS,1981,3074.8,Mar-May,366.7,0,Island,Tropical,0
6,ANDAMAN & NICOBAR ISLANDS,1981,3074.8,Jun-Sep,1908.0,0,Island,Tropical,4
7,ANDAMAN & NICOBAR ISLANDS,1981,3074.8,Oct-Dec,761.2,0,Island,Tropical,0
8,ANDAMAN & NICOBAR ISLANDS,1982,2384.5,Jan-Feb,11.6,0,Island,Tropical,0
9,ANDAMAN & NICOBAR ISLANDS,1982,2384.5,Mar-May,333.3,0,Island,Tropical,0
10,ANDAMAN & NICOBAR ISLANDS,1982,2384.5,Jun-Sep,1575.8,0,Island,Tropical,3
11,ANDAMAN & NICOBAR ISLANDS,1982,2384.5,Oct-Dec,463.8,0,Island,Tropical,0
12,ANDAMAN & NICOBAR ISLANDS,1983,2792.4,Jan-Feb,22.1,0,Island,Tropical,0
13,ANDAMAN & NICOBAR ISLANDS,1983,2792.4,Mar-May,253.0,0,Island,Tropical,0
14,ANDAMAN & NICOBAR ISLANDS,1983,2792.4,Jun-Sep,1892.4,0,Island,Tropical,4
15,ANDAMAN & NICOBAR ISLANDS,1983,2792.4,Oct-Dec,624.9,0,Island,Tropical,0
16,ANDAMAN & NICOBAR ISLANDS,1984,2820.3,Jan-Feb,243.2,0,Island,Tropical,0
17,ANDAMAN & NICOBAR ISLANDS,1984,2820.3,Mar-May,345.2,0,Island,Tropical,0
18,ANDAMAN & NICOBAR ISLANDS,1984,2820.3,Jun-Sep,1280.7,0,Island,Tropical,2
19,ANDAMAN & NICOBAR ISLANDS,1984,2820.3,Oct-Dec,951.2,0,Island,Tropical,0
20,ANDAMAN & NICOBAR ISLANDS,1985,2630.8,Jan-Feb,31.2,0,Island,Tropical,0
21,ANDAMAN & NICOBAR ISLANDS,1985,2630.8,Mar-May,357.2,0,Island,Tropical,0
22,ANDAMAN & NICOBAR ISLANDS,1985,2630.8,Jun-Sep,1557.0,0,Island,Tropical,3
23,ANDAMAN & NICOBAR ISLANDS,1985,2630.8,Oct-Dec,685.4,0,Island,Tropical,0
24,ANDAMAN & NICOBAR ISLANDS,1986,2187.8,Jan-Feb,15.4,0,Island,Tropical,0
25,ANDAMAN & NICOBAR ISLANDS,1986,2187.8,Mar-May,312.3,0,Island,Tropical,0
26,ANDAMAN & NICOBAR ISLANDS,1986,2187.8,Jun-Sep,1473.6,0,Island,Tropical,2
27,ANDAMAN & NICOBAR ISLANDS,1986,2187.8,Oct-Dec,386.5,0,Island,Tropical,0
28,ANDAMAN & NICOBAR ISLANDS,1987,2764.0,Jan-Feb,107.6,0,Island,Tropical,0
29,ANDAMAN & NICOBAR ISLANDS,1987,2764.0,Mar-May,200.9,0,Island,Tropical,0
30,ANDAMAN & NICOBAR ISLANDS,1987,2764.0,Jun-Sep,1434.5,0,Island,Tropical,2
31,ANDAMAN & NICOBAR ISLANDS,1987,2764.0,Oct-Dec,1021.0,0,Island,Tropical,1
32,ANDAMAN & NICOBAR ISLANDS,1988,3323.0,Jan-Feb,50.1,0,Island,Tropical,0
33,ANDAMAN & NICOBAR ISLANDS,1988,3323.0,Mar-May,538.1,0,Island,Tropical,0
34,ANDAMAN & NICOBAR ISLANDS,1988,3323.0,Jun-Sep,1810.5,1,Island,Tropical,1
35,ANDAMAN & NICOBAR ISLANDS,1988,3323.0,Oct-Dec,924.3,0,Island,Tropical,0
36,ANDAMAN & NICOBAR ISLANDS,1989,2533.6,Jan-Feb,68.8,0,Island,Tropical,0
37,ANDAMAN & NICOBAR ISLANDS,1989,2533.6,Mar-May,490.0,0,Island,Tropical,0
38,ANDAMAN & NICOBAR ISLANDS,1989,2533.6,Jun-Sep,1424.1,0,Island,Tropical,2
39,ANDAMAN & NICOBAR ISLANDS,1989,2533.6,Oct-Dec,550.7,0,Island,Tropical,0
40,ANDAMAN & NICOBAR ISLANDS,1990,2183.4,Jan-Feb,13.6,0,Island,Tropical,0
41,ANDAMAN & NICOBAR ISLANDS,1990,2183.4,Mar-May,536.8,0,Island,Tropical,0
42,ANDAMAN & NICOBAR ISLANDS,1990,2183.4,Jun-Sep,1108.0,0,Island,Tropical,1
43,ANDAMAN & NICOBAR ISLANDS,1990,2183.4,Oct-Dec,525.1,0,Island,Tropical,0
44,ANDAMAN & NICOBAR ISLANDS,1991,2535.8,Jan-Feb,18.0,0,Island,Tropical,0
